"odoo_id","erp_id","fiscal_position"
881,63,"IVA Reduït Enviament Abril"
858,91,"IVA Reduït Enviament Abril 2024"
888,37,"IVA Reduït (IVA 5%)"
876,92,"IVA Reduït (IVA 5%) 2024"
36,2,"Recàrrec d’equivalència"
850,19,"Régimen Islas Canarias"
853,21,"Régimen Islas Canarias 2018"
874,87,"Régimen Islas Canarias  2024"
871,89,"Régimen Islas Canarias Puerto de la Cruz  2024"
859,38,"Régimen Islas Canarias Puerto de la Cruz RD 17/2021"
868,52,"Régimen Islas Canarias Puerto de la Cruz RDL 8/2023 2,5%"
877,61,"Régimen Islas Canarias Puerto de la Cruz RDL 8/2023 3,8%"
845,33,"Régimen Islas Canarias RD 17/2021"
862,47,"Régimen Islas Canarias RDL 8/2023 2,5%"
872,56,"Régimen Islas Canarias RDL 8/2023 3,8%"
852,25,"Régimen Islas Canarias Vivienda"
875,88,"Régimen Islas Canarias Vivienda  2024"
879,90,"Régimen Islas Canarias Vivienda Puerto de la Cruz  2024"
880,94,"Régimen Islas Canarias Vivienda Puerto de la Cruz  2024"
863,39,"Régimen Islas Canarias Vivienda Puerto de la Cruz RD 17/2021"
869,53,"Régimen Islas Canarias Vivienda Puerto de la Cruz RDL 8/2023 2,5"
878,62,"Régimen Islas Canarias Vivienda Puerto de la Cruz RDL 8/2023 3,8"
846,34,"Régimen Islas Canarias Vivienda RD 17/2021"
864,48,"Régimen Islas Canarias Vivienda RDL 8/2023 2,5%"
873,57,"Régimen Islas Canarias Vivienda RDL 8/2023 3,8%"
835,14,"Régimen nacional 2009"
836,15,"Régimen nacional 2010"
837,16,"Régimen nacional 2012"
854,17,"Régimen nacional 2012 (IESE 66.25% del -85%)"
889,20,"Régimen nacional 2012 (IESE -85%)"
890,18,"Régimen nacional 2012 (IESE Exento)"
848,27,"Régimen nacional 2021 (RD 17/2021)"
851,28,"Régimen nacional 2021 RD 17/2021 (IESE 66.25% del -85%)"
891,29,"Régimen nacional 2021 RD 17/2021 (IESE -85%)"
856,40,"Régimen nacional 2024"
857,86,"Régimen nacional 2024 (IESE 66.25% del -85%)"
838,82,"Régimen nacional 2024 (IESE -85%)"
882,41,"Régimen nacional 2024 (RDL 8/2023) 2,5%"
893,43,"Régimen nacional 2024 RDL 8/2023 [2,5%] (IESE -85%)"
892,42,"Régimen nacional 2024 (RDL 8/2023) 3,8%"
894,44,"Régimen nacional 2024 RDL 8/2023 [3,8%] (IESE -85%)"
866,50,"Régimen nacional 2024 RDL 8/2023 (IESE 66.25% del -85%) 2,5%"
886,59,"Régimen nacional 2024 RDL 8/2023 (IESE 66.25% del -85%) 3,8%"
34,3,"Règim extracomunitari"
33,4,"Règim intracomunitari"
31,1,"Règim nacional"
847,22,"Règim nacional 2012 (IESE -45.5%)"
844,23,"Règim nacional 2012 (IESE -57.6%)"
843,26,"Règim nacional 2012 (IESE -95%)"
855,30,"Règim nacional 2021 RD 17/2021 (IESE 45.5% del -85%)"
834,31,"Règim nacional 2021 RD 17/21 (IESE 57.6% del -85%)"
849,35,"Règim nacional 2021 RD 17/21 (IESE 85% del -85%)"
840,32,"Règim nacional 2021 RD 17/21 (IESE 95% del -85%)"
870,93,"Règim nacional 2024 (IESE 45.5% del -85%)"
839,83,"Règim nacional 2024 (IESE 57.6% del -85%)"
842,85,"Règim nacional 2024 (IESE 85% del -85%)"
841,84,"Règim nacional 2024 (IESE 95% del -85%)"
867,51,"Règim nacional 2024 RDL 8/2023 (IESE 45.5% del -85%) 2,5%"
887,60,"Règim nacional 2024 RDL 8/2023 (IESE 45.5% del -85%) 3,8%"
860,45,"Règim nacional 2024 RDL 8/2023 (IESE 57.6% del -85%) 2,5%"
883,54,"Règim nacional 2024 RDL 8/2023 (IESE 57.6% del -85%) 3,8%"
865,49,"Règim nacional 2024 RDL 8/2023 (IESE 85% del -85%) 2,5%"
885,58,"Règim nacional 2024 RDL 8/2023 (IESE 85% del -85%) 3,8%"
861,46,"Règim nacional 2024 RDL 8/2023 (IESE 95% del -85%) 2,5%"
884,55,"Règim nacional 2024 RDL 8/2023 (IESE 95% del -85%) 3,8%"
38,10,"Retenció IRPF 1%"
42,7,"Retenció IRPF 15%"
43,6,"Retenció IRPF 18%"
44,5,"Retenció IRPF 19%"
39,9,"Retenció IRPF 2%"
47,12,"Retenció IRPF 20%"
50,11,"Retenció IRPF 21%"
40,8,"Retenció IRPF 7%"
41,13,"Retenció IRPF 9%"
