"odoo_id","erp_id","Nombre del diario","Tipo"
481,29, DIARI DEVOLUCIONS DE REBUTS,Revisar amb Pedro
500,95,Acord de Fraccionaments,Ventas
499,92,Amortització GenerationkWh,Compra
13,21,Banc,Banco
503,99,Diari vendes representació,Ventas
464,2,Diario de compras,Compra
463,1,Diario de ventas,Ventas
492,55,Facturas contratación,Ventas
493,56,Facturas contratación (A),Ventas
494,57,Facturas contratación (B),Ventas
495,58,Facturas contratación (R),Ventas
497,62,Facturas Recuperación IVA (Anuladoras),Ventas
496,61,Facturas Recuperación IVA (Rectificadoras),Ventas
504,110,Facturas Recuperación IVA (Rescision),Ventas
507,117,Facturas Representación Mercado,Compra
516,130,Facturas Representación Mercado (Abono),Compra
517,131,Facturas Representación Mercado (B),Compra
518,132,Facturas Representación Mercado (Rectificadoras),Compra
506,116,Facturas Representación Mercado Específica,Compra
505,115,Facturas Representación Servicios,Ventas
514,127,Facturas Representación Servicios (Abono),Ventas
515,128,Facturas Representación Servicios (B),Ventas
511,122,Facturas Servicios Generación,Ventas
512,123,Facturas Servicios Generación (Abono),Ventas
513,124,Facturas Servicios Generación (Rectificadoras),Ventas
498,68,Factures Aportacions,Ventas
491,47,Factures Client MEFF,Ventas
465,5,Factures Energia,Ventas
466,6,Factures Energia (Abono),Ventas
467,7,Factures Energia (B),Ventas
485,41,Factures Energia (BRA),Ventas
468,8,Factures Energia (Rectificadores),Ventas
473,19,Factures Energia (Rectificadores)Anulades,Ventas
474,20,Factures Energia re-Rectificades,Ventas
490,46,Factures GenerationkWh,Ventas
525,139,Factures GURB,Ventas
510,121,"Factures impost municipal 1,5%",Compra
475,22,Factures Liquidació Aportacions,Compra
476,23,Factures Liquidació Títols,Compra
478,26,Factures Prov. Conceptes (Abono),Compra
479,27,Factures Prov. Conceptes (B),Compra
487,43,Factures Prov. Conceptes (BRA),Compra
488,44,Factures Prov. Conceptes (Complementaries),Compra
480,28,Factures Prov. Conceptes (Rectificadores),Compra
489,45,Factures Prov. Conceptes (Regularitzadores),Compra
470,11,Factures Prov. Energia (Abono),Compra
471,12,Factures Prov. Energia (B),Compra
486,42,Factures Prov. Energia (BRA),Compra
483,38,Factures Prov. Energia (Complementaries),Compra
472,13,Factures Prov. Energia (Rectificadores),Compra
484,39,Factures Prov. Energia (Regularitzadores),Compra
477,25,Factures Proveïdor Conceptes,Compra
469,10,Factures Proveïdor Energia,Compra
501,96,Factures Proveïdor Proforma,Compra
502,97,Factures Proveïdor Proforma Bra,Compra
509,119,Proformas Representación Mercado,Compra
522,136,Proformas Representación Mercado (Abono),Compra
523,137,Proformas Representación Mercado (B),Compra
524,138,Proformas Representación Mercado (Rectificadoras),Compra
508,118,Proformas Representación Servicios,Ventas
519,133,Proformas Representación Servicios (Abono),Ventas
520,134,Proformas Representación Servicios (B),Ventas
521,135,Proformas Representación Servicios (Rectificadoras),Ventas
482,36,SOCIS,Ventas
